URL;LatinName;SlovenianName;FullName;Uzitnost
https://www.gobe.si/Gobe/HypholomaEricaeum;Hypholoma ericaeum;resina žveplenjača;Hypholóma erícaeum (Pers.) Kühner (1936);neužitna
https://www.gobe.si/Gobe/DiatrypeBullata;Diatrype bullata;blazinasti predirnik;Diátrype bulláta (Hoffm.) Fr. (1849);neužitna
https://www.gobe.si/Gobe/MarasmiusCollinus;Marasmius collinus;mazasta sehlíca;Marásmius collínus (Scop.) Singer (1942);neužitna
https://www.gobe.si/Gobe/CalvatiaCandida;Calvatia candida;pritlikava plešivka;Calvátia cándida (Rostk.) Hollós (1902);mlada užitna
https://www.gobe.si/Gobe/CortinariusSafranopes;Cortinarius safranopes;žafranastobetna koprenka;Cortinárius safránopes Rob. Henry (1938);neužitna
https://www.gobe.si/Gobe/ConocybeBulbifera;Conocybe bulbifera;gomoljasta stožka;Conócybe bulbífera (Kauffman) Romagn. (1944);neužitna
https://www.gobe.si/Gobe/CortinariusSaniosus;Cortinarius saniosus;kalužna koprenka;Cortinárius saniósus (Fr.) Fr. (1838);neužitna
https://www.gobe.si/Gobe/LactariusPterosporus;Lactarius pterosporus;trosokrilna mlečnica;Lactárius pterósporus Romagn. (1949);neužitna
https://www.gobe.si/Gobe/ArrheniaEpichysium;Arrhenia epichysium;lesni jezičar;Arrhénia epichýsium (Pers.) Redhead, Lutzoni, Moncalvo & Vilgalys (2002);neužitna
https://www.gobe.si/Gobe/CortinariusLeochrous;Cortinarius leochrous;levjebarvna koprenka;Cortinárius leóchrous Jul. Schäff. (1949);užitnost neznana
https://www.gobe.si/Gobe/CalonariusAlnobetulae;Calonarius alnobetulae;jelšev koprenar;Calonárius alnobétulae (Kühner) Niskanen & Liimat. (2022);neužitna
https://www.gobe.si/Gobe/InocybeGlabripes;Inocybe glabripes;drobnotrosna razcepljenka;Inócybe glábripes Ricken (1915);neužitna
https://www.gobe.si/Gobe/HyphodontiaMicrospora;Hyphodontia microspora;(drobnotrosni zobniček);Hyphodóntia micróspora J. Erikss. & Hjortstam (1976);neužitna
https://www.gobe.si/Gobe/TrametesCoccinea;Trametes coccinea;(cinobrinasta ploskocevka);Tramétes coccínea (Fr.) Hai J. Li & S.H. He (2014);užitnost neznana
https://www.gobe.si/Gobe/ClitocybeHydrogramma;Clitocybe hydrogramma;vodnata livka;Clitócybe hydrográmma (Bull.) P. Kumm. (1871);strupena
https://www.gobe.si/Gobe/TremellaCandida;Tremella candida;bela drhtavka;Tremélla cándida Pers. (1801);neužitna
https://www.gobe.si/Gobe/RussulaOlivaceoviolascens;Russula olivaceoviolascens;olivnolilasta golobica;Rússula oliváceovioláscens Gillet (1874);neužitna
https://www.gobe.si/Gobe/GymnopusExsculptus;Gymnopus exsculptus;rumenolistni korenovec;Gýmnopus exscúlptus (Fr.) Murrill (1916);neužitna
https://www.gobe.si/Gobe/LeucoagaricusBadhamii;Leucoagaricus badhamii;Badhamov kukmakovec;Leucoagáricus badhámii (Berk. & Broome) Singer (1951);pogojno užitna
https://www.gobe.si/Gobe/CortinariusArmeniacus;Cortinarius armeniacus;marelična koprenka;Cortinárius armeníacus (Schäff.) Fr. (1838);užitnost neznana
https://www.gobe.si/Gobe/CortinariusSubglutinosus;Cortinarius subglutinosus;klejasta koprenka;Cortinárius subglutinósus P. Karst. (1879);užitnost neznana
https://www.gobe.si/Gobe/EntolomaVersatile;Entoloma versatile;spreminjava rdečelistka;Entolóma versátile (V. Brig.) M.M. Moser (1978);neužitna
https://www.gobe.si/Gobe/CortinariusTofaceus;Cortinarius tofaceus;lehnjakova koprenka;Cortinárius tofáceus Fr. (1838);strupena
https://www.gobe.si/Gobe/LycoperdonDecipiens;Lycoperdon decipiens;varljiva prašnica;Lycopérdon decípiens Durieu & Mont. (1848);mlada užitna
https://www.gobe.si/Gobe/LeucoagaricusMeleagris;Leucoagaricus meleagris;grahasti kukmakovec;Leucoagáricus meleágris (Gray) Singer (1951);strupena
https://www.gobe.si/Gobe/CortinariusLivido-ochraceus;Cortinarius livido-ochraceus;nabrana koprenka;Cortinárius lívido-ochráceus (Berk.) Berk. (1860);užitnost neznana
https://www.gobe.si/Gobe/PerenniporiaMedulla-panis;Perenniporia medulla-panis;topotrosni večnoluknjičar;Perennipória medúlla-pánis (Jacq.) Donk (1967);neužitna
https://www.gobe.si/Gobe/InocybePseudodestricta;Inocybe pseudodestricta;širokolistna razcepljenka;Inócybe pseudodestrícta Stangl & J. Veselský (1973);strupena
https://www.gobe.si/Gobe/InonotusCuticularis;Inonotus cuticularis;nanizani luknjač;Inonótus cuticuláris (Bull.) P. Karst. (1880);neužitna
https://www.gobe.si/Gobe/LycoperdonDermoxanthum;Lycoperdon dermoxanthum;mala prašnica;Lycopérdon dermoxánthum Vittad. (1842);mlada užitna
https://www.gobe.si/Gobe/HebelomaPallidoluctuosum;Hebeloma pallidoluctuosum;pusta medlenka;Hebelóma pállidoluctuósum Gröger & Zschiesch. (1984);neužitna
