 1.     ABORTÍPORUS                                                        POLLUKNJIČARJI
  260. Cortinárius atróvirens Kalchbr. (1874)                                 črnozelena koprenka                             S
  261. Cortinárius áureofúlvus M.M. Moser (1952)                              zlatorumena koprenka                            U
  262. Cortinárius avelláneocaerúleus (M.M. Moser) M.M. Moser (1967)          smrekova koprenka                             UN
  263. Cortinárius baláustinus Fr. (1838)                                     granatna koprenka                             NU
  264. Cortinárius balteátocumátilis Rob. Henry ex P.D. Orton (1960)          sinjebetna koprenka                             U
  265. Cortinárius balteátus (Fr.) Fr. (1838)                                 modroroba koprenka                              U
  266. Cortinárius barbátus (Batsch) Melot (1989)                             grenkosluzna koprenka                         NU
  267. Cortinárius betulínus J. Favre (1948)                                  brezova koprenka                              NU
  268. Cortinárius bifórmis Fr. (1838)                                        dvolična koprenka                        NU, 2902
  269. Cortinárius bivélus (Fr.) Fr. (1838)                                   zastrta koprenka                                U
  270. Cortinárius boláris (Pers.) Fr. (1838)                                 opečna koprenka                                 S
  271. Cortinárius boudiéri Rob. Henry (1936)                                 boudierova koprenka                           UN
  272. Cortinárius bovínus Fr. (1838)                                         mesnata koprenka                              NU
  273. Cortinárius brúnneofúlvus Fr. (1838)                                   rjavkasta koprenka                            NU
  274. Cortinárius brúnneus (Pers.) Fr. (1838)                                rjava koprenka                                NU
  275. Cortinárius brúnneus var. glandícolor (Fr.) H. Lindstr. & Melot (1992) rjava koprenka, črnikasti različek        NU, 597
  276. Cortinárius bulbósus (Sowerby) Gray (1821)                             trebušasta koprenka                           NU
  277. Cortinárius bulliárdii (Pers.) Fr. (1838)                              rdečebetna koprenka                           NU


Mikološka zveza Slovenije                     OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                                          15
  278. Cortinárius caeruléscens (Schaeff.) Fr. (1838)                       višnjeva koprenka                               U
  279. Cortinárius caeruléscens var. depállens (M.M. Moser) Quadr. (1985) višnjeva koprenka, zbledeli različek              U
  280. Cortinárius cáesiocanéscens M.M. Moser (1952)                        sivomodrikasta koprenka                       UN
  281. Cortinárius cágei Melot (1990)                                       dvobarvna koprenka                        NU, 508
  282. Cortinárius callísteus (Fr.) Fr. (1838)                              prelestna koprenka                             SS
  283. Cortinárius calóchrous (Pers.) Gray (1821)                           barvita koprenka                              NU
  284. Cortinárius calóchrous var. coniferárum (M.M. Moser) Nezdojm. (1983) barvita koprenka, smrekov različek            NU
  285. Cortinárius calóchrous var. párvus (Rob. Henry) Brandrud (1992)      barvita koprenka, mali različek           NU, 677
  286. Cortinárius camphorátus (Fr.) Fr. (1838)                             kafrna koprenka                               NU
  287. Cortinárius canínus (Fr.) Fr. (1838)                                 pasja koprenka                                NU
  288. Cortinárius caperátus (Pers.) Fr. (1838)                             pšenična koprenka                         U, 2211
  289. Cortinárius castáneus (Bull.) Fr. (1838)                             kostanjevorjava koprenka                      NU
  290. Cortinárius cáusticus Fr. (1838)                                     rjaveča koprenka                              NU
  291. Cortinárius cephalíxus Secr. ex Fr. (1838)                           žoltobetna koprenka                NU, 544, 2980
  292. Cortinárius cinnabárinus Fr. (1838)                                  cinobrasta koprenka                             S
  293. Cortinárius cinnamómeolúteus P.D. Orton (1960)                       cimetnorumena koprenka                          S
  294. Cortinárius cinnamómeus (L.) Fr. (1838)                              cimetasta koprenka                              S
  295. Cortinárius citrínus J.E. Lange ex P.D. Orton (1960)                 citronasta koprenka                             S
  296. Cortinárius clarícolor (Fr.) Fr. (1838)                              belobetna koprenka                              U
  297. Cortinárius clarícolor var. immíssus (Schläpf.-Bernh.) Nezdojm. (1983) belobetna koprenka, modrolistni različek      U
  298. Cortinárius claroflávus Rob. Henry (1952)                            medlorumena koprenka                            S
  299. Cortinárius collinítopárvus Rob. Henry (1963)                        sluzovenčna koprenka                            U
  300. Cortinárius collinítus (Pers.) Fr. (1838)                            mazava koprenka                                 U
  301. Cortinárius cómptulus M.M. Moser (1968)                              nakosmičena koprenka                          NU
  302. Cortinárius contráctus Rob. Henry (1985)                             sfrknjena koprenka                            NU
  303. Cortinárius cotóneus Fr. (1838)                                      olivnorjava koprenka                          NU
  304. Cortinárius crassifólius (Velen.) Kühner & Romagn. ex Bon (1986) debelolistna koprenka                             NU
  305. Cortinárius crássus Fr. (1838)                                       krepka koprenka                                 U
  306. Cortinárius cróceocaerúleus (Pers.) Fr. (1838)                       žoltovišnjeva koprenka                        NU
