 1.     ABORTÍPORUS                                                        POLLUKNJIČARJI
  218. Clitócybe umbilicáta (Schaeff.) P. Kumm. (1871)                    popkasta livka                    NU
  219. Clitócybe vibecína (Fr.) Quél. (1872)                              skrotovičena livka                  U

56.   CLITOCÝBULA                                                LIVČKI
  220. Clitocýbula laceráta (Scop.) Métrod (1952)                         razpokani livček                  NU

57.   CLITOPÍLUS                                                 MOKARICE
  221. Clitopílus prúnulus (Scop.) P. Kumm. (1871)                        navadna mokarica                   U

58.   COLLÝBIA                                                   KORENOVKE
  222. Collýbia cirrháta (Schumach.) Quél. (1872)                         rumeneča korenovka             U, 389
  223. Collýbia cóokei (Bres.) J.D. Arnold (1935)                         cookova korenovka                 NU
  224. Collýbia tuberósa (Bull.) P. Kumm. (1871)                          gomoljava korenovka               NU

59.   COLTRÍCIA                                                  TRDIKOVCI
  225. Coltrícia cinnamómea (Jacq.) Murrill (1904)                        cimetasti trdikovec               NU
  226. Coltrícia perénnis (L.) Murrill (1903)                             večni trdikovec                   NU

60.   CÓNNOPUS                                                   KONIČARJI
  227. Cónnopus acervátus (Fr.) K.W. Hughes, Mather & R.H. Petersen (2010)          kopučasti koničar    U, 387




Mikološka zveza Slovenije                   OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                           14
61.   CONÓCYBE                                                       STOžKE
  228. Conócybe pubéscens (Gillet) Kühner (1935)                            puhasta stožka                                   NU
  229. Conócybe subovális Kühner & Watling (1980)                           oblasta stožka                                   NU
  230. Conócybe ténera (Schaeff.) Fayod (1889)                              ožlebičena stožka                                NU

62.   COPRINÉLLUS                                                    TINTOVCI
  231. Coprinéllus disseminátus (Pers.) J.E. Lange (1938)                   razsejani tintovec                          NU, 439
  232. Coprinéllus domésticus (Bolton) Vilgalys, Hopple & Jacq. Johnson (2001) domači tintovec                          NU, 440
  233. Coprinéllus ephémerus (Bull.) Redhead, Vilgalys & Moncalvo (2001)         minljivi tintovec                      NU, 441
  234. Coprinéllus micáceus (Bull.) Vilgalys, Hopple & Jacq. Johnson (2001)      sljudnati tintovec                     PU, 447
  235. Coprinéllus truncórum (Scop.) Redhead, Vilgalys & Moncalvo (2001)         štorovi tintovec                       NU, 459

63.   COPRINÓPSIS                                                    TINTOVKE
  236. Coprinópsis atramentária (Bull.) Redhead, Vilgalys & Moncalvo (2001)  prava tintovka                              PU, 433
  237. Coprinópsis cinérea (Schaeff.) Redhead, Vilgalys & Moncalvo (2001)    gnojiščna tintovka                          NU, 435
  238. Coprinópsis lagópus (Fr.) Redhead, Vilgalys & Moncalvo (2001)         plišasta tintovka                           NU, 446
  239. Coprinópsis nívea (Pers.) Redhead, Vilgalys & Moncalvo (2001)         snežnobela tintovka                         NU, 449
  240. Coprinópsis picácea (Bull.) Redhead, Vilgalys & Moncalvo (2001)       pisana tintovka                         NU, RS, 451
  241. Coprinópsis romagnesiána (Singer) Redhead, Vilgalys & Moncalvo (2001) rjavoluska tintovka                         NU, 454

64.   CÓPRINUS                                                       TINTNICE
  242. Cóprinus alopecía Lasch (1838)                                       strupena tintnica                                S
  243. Cóprinus comátus (O.F. Müll.) Pers. (1797)                           velika tintnica                                 MU
  244. Cóprinus silváticus Peck (1872)                                      gozdna tintnica                                 NU

65.   CÓRDYCEPS                                                      GLAVATCI
  245. Córdyceps militáris (L.) Link (1833)                                 kokonov glavatec                                 NU

66.   CORTINÁRIUS                                                    KOPRENKE
  246. Cortinárius acútus (Pers.) Fr. (1838)                                  zašiljena koprenka                            NU
  247. Cortinárius áereus Rob. Henry (1952)                                   bronasta koprenka                             NU
  248. Cortinárius álbidus subsp. europáeus (M.M. Moser) Quadr. (1985) belkasta koprenka, evropska podvrsta                   U
  249. Cortinárius álbovioláceus (Pers.) Fr. (1838)                           grbičasta koprenka                              U
  250. Cortinárius allútus Fr. (1838)                                         poprhnjena koprenka                             U
  251. Cortinárius allútus var. xánthus (M.M. Moser) Quadr. (1985)            poprhnjena koprenka, rumeni različek            U
  252. Cortinárius anómalus (Fr.) Fr. (1838)                                  nepravilna koprenka                             U
  253. Cortinárius anserínus (Velen.) Rob. Henry (1986)                       sladkobna koprenka                              U
  254. Cortinárius anthrácinus (Fr.) Sacc. (1887)                             rjavoškrlatna koprenka                        NU
  255. Cortinárius arcuatórum Rob. Henry (1939)                               živobarvna koprenka                           NU
  256. Cortinárius argentátus (Pers.) Fr. (1838)                              srebrna koprenka                              NU
  257. Cortinárius armeníacus (Schaeff.) Fr. (1838)                           marelična koprenka                            UN
  258. Cortinárius armillátus (Fr.) Fr. (1838)                                pasasta koprenka                              NU
  259. Cortinárius arvináceus Fr. (1838)                                      pšenična koprenka                               U
