239.;474361;449;Coprinellus micaceus;Coprinópsis nívea;snežnobela tintovka;NU;snežnobela tintnica, sneženka, snežnata tintnica, snežnica
240.;474632;451;Coprinopsis picacea;Coprinópsis picácea;pisana tintovka;NU, RS;pisana tintnica
241.;474192;454;Coprinopsis romagnesiana;Coprinópsis romagnesiána;rjavoluska tintovka;NU;rjavoluska tintnica
242.;533702;432;Coprinopsis alopecia;Cóprinus alopecía;strupena tintnica;S;
243.;148667;436;Coprinus comatus;Cóprinus comátus;velika tintnica;MU;
244.;278160;456;Coprinellus silvaticus;Cóprinus silváticus;gozdna tintnica;NU;
245.;237604;463;Cordyceps militaris;Córdyceps militáris;kokonov glavatec;NU;
246.;195060;468;Cortinarius acutus;Cortinárius acútus;zašiljena koprenka;NU;
247.;295786;470;Cortinarius aereus;Cortinárius áereus;bronasta koprenka;NU;
248.;116390;473;Cortinarius europaeus;Cortinárius álbidus;belkasta koprenka, evropska podvrsta;U;
249.;199674;474;Cortinarius alboviolaceus;Cortinárius álbovioláceus;grbičasta koprenka;U;
250.;199522;475;Cortinarius allutus;Cortinárius allútus;poprhnjena koprenka;U;
251.;116619;476;Thaxterogaster rufoallutus;Cortinárius allútus var. xánthus;poprhnjena koprenka, rumeni različek;U;
252.;209878;480;Cortinarius anomalus;Cortinárius anómalus;nepravilna koprenka;U;
253.;438206;481;Cortinarius anserinus;Cortinárius anserínus;sladkobna koprenka;U;
254.;209671;482;Cortinarius anthracinus;Cortinárius anthrácinus;rjavoškrlatna koprenka;NU;
255.;250768;484;Calonarius arcuatorum;Cortinárius arcuatórum;živobarvna koprenka;NU;
256.;207544;486;Cortinarius argentatus;Cortinárius argentátus;srebrna koprenka;NU;
257.;214592;490;Cortinarius armeniacus;Cortinárius armeníacus;marelična koprenka;UN;
258.;214757;491;Cortinarius armillatus;Cortinárius armillátus;pasasta koprenka;NU;
259.;214943;493;Cortinarius arvinaceus;Cortinárius arvináceus;pšenična koprenka;U; 
260.;203772;495;Calonarius atrovirens;Cortinárius atróvirens;črnozelena koprenka;S;
261.;295804;496;Calonarius aureofulvus;Cortinárius áureofúlvus;zlatorumena koprenka;U;
262.;328988;497;Cortinarius avellaneocoeruleus;Cortinárius avelláneocaerúleus;smrekova koprenka;UN;
263.;211362;502;Cortinarius balaustinus;Cortinárius baláustinus;granatna koprenka;NU;
264.;250945;503;Phlegmacium balteatocumatile;Cortinárius balteátocumátilis;sinjebetna koprenka;U;
